序号,品名,熔点
1,Cu22.5Zn15Sn12.5Se50,1040
2,Cu22Zn15.5Sn12.5Se50,1030
3,Cu25Zn12.5Sn12.5Se50,1000
4,In11.1Ge14Sb14.9Te60,550
5,In11.1Ge15.4Sb15.6Te57.9,580
6,Ga30Sb70,655
7,Ge26.41Sb27.01Te46.58,630-635
8,Se44.07As24.97Ge20.96,545-550
9,Se54As36Ge10,540
10,Se44As34Ge22,545-550
11,GeSe,730-760
12,InSe,600
13,Cu24.365In18.401Ga6.98Se50.254,950
14,As2Se3,375
15,Cu22.8In20Ga7Se50.2,1000
16,In2S3,1098
17,Cu25In18.75Ga6.25Se50,1005
18,Cu23.08Zn16.03Sn9.62Se51.28,1155
19,CuGaSe2,1090
20,Bi40Te54Se6,575
21,Sb2Se3,610
22,In2Se3,880
23,Sb2Te3,610
24,MnTe,1150
25,As2Te3,362
26,SnSe2,657
27,Se48.6As37.6Ge13.8,545
28,Se56.7As30Ge13.3,535
29,Bi39Te59Se2,600
30,Bi9Te60Sb31,610
31,In9.9Ga16.9Sb18.4Te54.8,665
32,Cu25In17.5Ga7.5Se50,1000
33,Bi40Te58Se2,570
34,Bi10Sb30Te60,590
35,Se52.6As27.8Ge12.4Si7.2,540
36,Cu21.98In19.3Ga7.51Se51.21,1010
37,Cu19.72In21.13Ga7.04Se52.11,985
38,As10Ge11.7Si12.3,1000
39,As20Se46,240
40,Ge11.7Si12.3,1250
41,As30Se46,300
42,As15Ge7Si12.3,1000
43,As15Ge4.7Se46,260
44,As32.17Ge13.54Se54.29,425
45,Cu20.68In18.61Ga6.43Se54.27,885
46,Ge22.22Sb22.22Te33.34Se22.22,540-545
47,Bi32.78Te60.49Se6.74,405-410
48,Bi31.5Te61.65Se6.85,400-405
49,Bi5Sb28.33Te66.67,400-405
50,Ge24.95At37.04Se38.01,550
51,Se57.79At28.79Ge13.42,435
52,Se52.16At34.42Ge13.42,435
53,Se57.57At28.73Ge13.7,430
54,Se51.82At34.48Ge13.7,420
55,Se64.6At19.1Ge16.3,400
56,Se71.9At5.28Ge22.8,410
57,Se57.5At5.3Ge37.2,530
58,Se54.1At5.37Ge40.53,520
59,Se69.16At5.47Ge25.37,430
60,Se62.04At19.87Ge18.09,450
61,At2Se,370
62,At7Se6,350
63,At31Se8,480
64,At7Te8,335
65,At9Te7,350
66,At7Te9,340
67,Ge19S6,765
68,Se56.28At34.37Ge9.35,365
